cex;nama_token;ticker;sc;decimals
BINANCE;Zcash;ZEC;0x1ba42e5193dfa8b03d15dd1b86a3113bbbef8eeb;18
BINANCE;Tornado Cash;TORN;0x1ba8d3c4c219b124d351f603060663bd1bcd9bbf;18
MEXC;Athene Network;ATN;0x1c6fdeD596069EBDa2ec079891f10eFBa2c111AA;18
BINANCE;Avalanche;AVAX;0x1ce0c2827e2ef14d5c4f29a091d735a204794041;18
BINANCE;XRP;XRP;0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe;18
GATE;Nanobyte;NBT;0x1d3437e570e93581bd94b2fd8fbf202d4a65654a;18
MEXC;MBP COIN;MBP;0x1D42e1CD643941b26a4191E72A617eD32670Df55;10
GATE;Outlanders;LAND;0x1e34fcc9a67e05d4beed8c6a70f98c3e4d1e1e96;18
BITGET;WAI;WAI;0x1e3dbc0aad9671fdd31e58b2fcc6cf1ca9947994;18
MEXC;World3;WAI;0x1E3dbC0aad9671FDD31E58b2fcc6cF1Ca9947994;18
GATE;World3;WAI;0x1e3dbc0aad9671fdd31e58b2fcc6cf1ca9947994;18
KUCOIN;WAI;WAI;0x1e3dbc0aad9671fdd31e58b2fcc6cf1ca9947994;18
GATE;Cheelee;CHEEL;0x1f1c90aeb2fd13ea972f0a71e35c0753848e3db0;18
MEXC;Overlay Protocol;OVL;0x1F34c87ded863Fe3A3Cd76FAc8adA9608137C8c3;18
GATE;Overlay Protocol;OVL;0x1f34c87ded863fe3a3cd76fac8ada9608137c8c3;18
MEXC;GPTVerse;GPTV;0x1F56eFffEe38EEeAE36cD38225b66c56E4D095a7;18
GATE;DeepBrain;DBC;0x1F735f84b07cc20E9aC471C291a87b5A2428d518;15
BINANCE;Celer Network;CELR;0x1f9f6a696c6fd109cd3956f45dc709d2b3902163;18
KUCOIN;CELR;CELR;0x1f9f6a696c6fd109cd3956f45dc709d2b3902163;18
GATE;Diamante;DIAM;0x1fa0f5ed24a1a2b43741e88f8fec19633e67082b;18
MEXC;Diamante;DIAM;0x1FA0f5ed24a1a2b43741E88F8FEc19633e67082B;18
BINANCE;NEAR Protocol;NEAR;0x1fa4a73a3f0133f0025378af00236f3abdee5d63;18
INDODAX;NEAR Protocol;NEAR;0x1fa4a73a3f0133f0025378af00236f3abdee5d63;18
BINANCE;Komodo;KMD;0x2003f7ba57ea956b05b85c60b4b2ceea9b111256;18
GATE;IguVerse;IGU;0x201bC9F242f74C47Bbd898a5DC99cDCD81A21943;18
MEXC;Cogni Token;COG;0x20415D302D59Ad80db4FBA4c15F57A58B8DCcA32;18
GATE;Tagger;TAG;0x208bf3e7da9639f1eaefa2de78c23396b0682025;18
BITGET;TAG;TAG;0x208bf3e7da9639f1eaefa2de78c23396b0682025;18
MEXC;Giggle Fund;GIGGLE;0x20d6015660b3fe52e6690a889b5C51F69902cE0e;18
BINANCE;Tranchess;CHESS;0x20de22029ab63cf9a7cf5feb2b737ca1ee4c82a6;18
MEXC;Tranchess;CHESS;0x20de22029ab63cf9A7Cf5fEB2b737Ca1eE4c82A6;18
BITGET;CHESS;CHESS;0x20de22029ab63cf9a7cf5feb2b737ca1ee4c82a6;18
GATE;Tranchess;CHESS;0x20de22029ab63cf9a7cf5feb2b737ca1ee4c82a6;18
GATE;AtemNetwork;ATEM;0x21665851d13f3b5622b178b00ab1ba6ec43cfc06;18
BITGET;ETH;ETH;0x2170ed0880ac9a755fd29b2688956bd959f933f8;18
KUCOIN;ETH;ETH;0x2170ed0880ac9a755fd29b2688956bd959f933f8;18
MEXC;ETH;ETH;0x2170ed0880ac9a755fd29b2688956bd959f933f8;18
GATE;Ethereum;ETH;0x2170ed0880ac9a755fd29b2688956bd959f933f8;18
BINANCE;Ethereum;ETH;0x2170ed0880ac9a755fd29b2688956bd959f933f8;18
GATE;Octavia;VIA;0x21ac3bB914f90A2Bb1a16088E673a9fdDa641434;18
MEXC;Octavia;VIA;0x21ac3bB914f90A2Bb1a16088E673a9fdDa641434;18
INDODAX;TLM;TLM;0x2222227e22102fe3322098e4cbfe18cfebd57c95;4
KUCOIN;TLM;TLM;0x2222227e22102fe3322098e4cbfe18cfebd57c95;4
BITGET;TLM;TLM;0x2222227e22102fe3322098e4cbfe18cfebd57c95;4
MEXC;TLM-ETH;TLM;0x2222227e22102fe3322098e4cbfe18cfebd57c95;4
BINANCE;Alien Worlds;TLM;0x2222227e22102fe3322098e4cbfe18cfebd57c95;4
GATE;BRCStarter;BRCST;0x22830be0954ff3bf7929405c488b1bba54a7e0d3;18
GATE;BIGPUMP;BIGPUMP;0x22b4fa9a13a0d303ad258ee6d62a6ac60364b0c9;18
GATE;Advanced Mortgage & Reserve;AMR;0x232a7a48d1dd946617d82fab36b46a30f69df4a3;18
MEXC;EDEN-ETH;EDEN;0x235B6fe22B4642aDa16D311855c49Ce7DE260841;18
GATE;OpenEden;EDEN;0x235b6fe22b4642ada16d311855c49ce7de260841;18
BINANCE;OpenEden;EDEN;0x235b6fe22b4642ada16d311855c49ce7de260841;18
INDODAX;Metars;MRS;0x238D02eE3F80FBf5E381F049616025c186889B68;18
MEXC;Fireverse;FIR;0x238D72E179A581C98DC1996417a49818c7E509dC;18
GATE;Fireverse;FIR;0x238d72e179a581c98dc1996417a49818c7e509dc;18
MEXC;Delabs Games;DELABS;0x23CcAB1de32E06a6235a7997C266F86440C2Cbe6;18
GATE;Delabs Games;DELABS;0x23ccab1de32e06a6235a7997c266f86440c2cbe6;18
BINANCE;Mines of Dalarnia;DAR;0x23ce9e926048273ef83be0a3a8ba9cb6d45cd978;6
KUCOIN;BROCCOLI;BROCCOLI;0x23d3f4eaaa515403c6765bb623f287a8cca28f2b;18
GATE;YouClout;YCT;0x23e3981052d5280c658e5e18d814fa9582bfbc9e;18
BINANCE;BETH;BETH;0x250632378e573c6be1ac2f97fcdf00515d0aa91b;18
BINANCE;Atlético de Madrid Fan Token;ATM;0x25e9d05365c867e59c1904e7463af9f312296f9e;2
BINANCE;Decentraland;MANA;0x26433c8127d9b4e9b71eaa15111df99ea2eeb2f8;18
MEXC;Burnr;BURNR;0x2645544b5f5e52437c4d3A5D451724A2f1e8e715;18
BINANCE;UniLend;UFT;0x2645d5f59d952ef2317c8e0aaa5a61c392ccd44d;18
GATE;Paynetic;PYN;0x26b20ea5c29b12abeb27b521045d823b24222fc8;18
BINANCE;VITE;VITE;0x2794dad4077602ed25a88d03781528d1637898b4;18
GATE;CumRocket;CUMMIES;0x27ae27110350b98d564b9a3eed31baebc82d878d;18
GATE;YOUR AI;YOURAI;0x27f16d9a5095b763baeadd7dd78e83288af29cf4;18
MEXC;Notevia;NVA;0x27F63b6EDf73096a93B47cB41FCBC19186B1f090;18
MEXC;Arbit;ARBT;0x2800e1A4E1a81e6e816A858ebBdc3655298cB8f3;18
BITGET;SHIB;SHIB;0x2859e4544c4bb03966803b044a93563bd2d0dd4d;18
BINANCE;SHIBA INU;SHIB;0x2859e4544c4bb03966803b044a93563bd2d0dd4d;18
MEXC;SHIB-BSC;SHIB;0x2859e4544C4bB03966803b044A93563Bd2D0DD4D;18
INDODAX;SHIB;SHIB;0x2859e4544c4bb03966803b044a93563bd2d0dd4d;18
BINANCE;Alpine F1 Team Fan Token;ALPINE;0x287880ea252b52b63cc5f40a2d3e5a44aa665a76;8
MEXC;AlpineF1TeamFanToken;ALPINE;0x287880Ea252b52b63Cc5f40a2d3E5A44aa665a76;8
KUCOIN;ALPINE;ALPINE;0x287880ea252b52b63cc5f40a2d3e5a44aa665a76;8
BITGET;ALPINE;ALPINE;0x287880ea252b52b63cc5f40a2d3e5a44aa665a76;8
GATE;Alpine F1 Team Fan Token;ALPINE;0x287880Ea252b52b63Cc5f40a2d3E5A44aa665a76;8
KUCOIN;PROMPT;PROMPT;0x28d38df637db75533bd3f71426f3410a82041544;18
MEXC;ONFA Token;OFT;0x297c6470cc7A3fe5cF8E5D977c33A2d4b4d9b126;18
GATE;Trex20;TX20;0x29838b8c8b7cd6f0698c2fd6feaf0363d2cb6da1;18
MEXC;Bovine Verse Game;BVG;0x29AB77a43Ec69D0DFFf3Ff72bff457e09b258351;18
BINANCE;WazirX;WRX;0x2a459dd33f05ed8ea9584505cf04698be5654e6d;18
GATE;WazirX;WRX;0x2a459dd33f05ed8ea9584505cf04698be5654e6d;18
KUCOIN;INFOFI;INFOFI;0x2a4656774759fa9eb9732fc6ca1dc2f893819fc3;18
BINANCE;Kusama;KSM;0x2aa69e8d25c045b659787bc1f03ce47a388db6e8;18
GATE;StrikeBit AI;STRIKE;0x2aa89a0113bcbbcdc5812c6df794e2d9650fc1af;18
MEXC;StrikeBit AI;STRIKE;0x2AA89A0113BcbBcdC5812C6Df794E2D9650fC1AF;18
GATE;Cakepie;CKP;0x2b5d9adea07b590b638ffc165792b2c610eda649;18
KUCOIN;SQR;SQR;0x2b72867c32cf673f7b02d208b26889fed353b1f8;8
GATE;Magic Square;SQR;0x2b72867c32cf673f7b02d208b26889fed353b1f8;8
MEXC;VinuChain;VC;0x2Bf83D080d8Bc4715984e75E5b3D149805d11751;18
GATE;VinuChain;VC;0x2bf83d080d8bc4715984e75e5b3d149805d11751;18
GATE;Akedo;AKE;0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db;18
MEXC;AKEDO;AKE;0x2c3a8Ee94dDD97244a93Bc48298f97d2C412F7Db;18
KUCOIN;AKE;AKE;0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db;18
BINANCE;ConstitutionDAO;PEOPLE;0x2c44b726adf1963ca47af88b284c06f30380fc78;18
INDODAX;AITECH;AITECH;0x2d060ef4d6bf7f9e5edde373ab735513c0e4f944;18
KUCOIN;AITECH;AITECH;0x2d060ef4d6bf7f9e5edde373ab735513c0e4f944;18
GATE;Solidus Ai Tech;AITECH;0x2D060Ef4d6BF7f9e5edDe373Ab735513c0e4F944;18
BITGET;AITECH;AITECH;0x2d060ef4d6bf7f9e5edde373ab735513c0e4f944;18
MEXC;Solidus Ai Tech;AITECH;0x2D060Ef4d6BF7f9e5edDe373Ab735513c0e4F944;18
KUCOIN;BABYBNB;BABYBNB;0x2d5f3b0722acd35fbb749cb936dfdd93247bbc95;18
GATE;BABYBNB;BABYBNB;0x2d5f3b0722acd35fbb749cb936dfdd93247bbc95;18
BITGET;ID;ID;0x2dff88a56767223a5529ea5960da7a3f5f766406;18
MEXC;SPACE ID;ID;0x2dfF88A56767223A5529eA5960Da7A3F5f766406;18
GATE;Space ID;ID;0x2dff88a56767223a5529ea5960da7a3f5f766406;18
BINANCE;Space ID;ID;0x2dff88a56767223a5529ea5960da7a3f5f766406;18
KUCOIN;ID;ID;0x2dff88a56767223a5529ea5960da7a3f5f766406;18
MEXC;METANIA GAMES;METANIA;0x2E477F353747752FFB838a28621722e6A3F50D29;18
BINANCE;Mask Network;MASK;0x2ed9a5c8c13b93955103b9a7c167b67ef4d568a3;18
MEXC;NodeOps;NODE;0x2F714d7b9A035d4ce24af8d9b6091c07E37f43Fb;18
MEXC;UnmarshalToken;MARSH;0x2fa5daf6fe0708fbd63b1a7d1592577284f52256;18
KUCOIN;MARSH;MARSH;0x2fa5daf6fe0708fbd63b1a7d1592577284f52256;18
INDODAX;GMT;GMT;0x3019bf2a2ef8040c242c9a4c5c4bd4c81678b2a1;8
BINANCE;Green Metaverse Token;GMT;0x3019bf2a2ef8040c242c9a4c5c4bd4c81678b2a1;8
